,0
0,"Dutch official Covid-19 death rate nears 5,000, real rate is much higher"
1,Teens in hospital with mystery illness
2,'Masker 19' code word alerts services
3,"Nurses, carers worried about mask shortage"
4,Take part in our new coronavirus survey
5,Coronavirus kills nine healthcare workers
6,Most Eredivisie clubs to furlough players
7,Local councils want corona compensation
8,Blood clots a big issue in corona IC cases
9,
10,"Dutch official Covid-19 death rate nears 5,000, real rate is much higher"
11,Green light for physiotherapists to see patients again
12,"Two Dutch teens hospitalised with mystery illness, but test negative for Covid-19"
13,Ministry introduces code word 'Masker 19' for domestic abuse
14,"Nurses and carers suffering stress, worried about face mask shortages"
15,You and coronavirus: share your views in our new survey
16,"Nine Dutch healthcare workers have died of coronavirus, officials say"
17,Eredivisie clubs pitch in for furlough funding after season abandoned
18,Coronavirus puts local councils in an even tighter spot: NRC
19,"Many coronavirus patients are developing blood clots, Dutch research"
20,Museum of Bags and Purses is first museum to close for good
21,"Majority would use a coronavirus tracing app, research shows"
22,Dutch will decide on face mask strategy as 'quickly as possible'
23,Delft researchers launch mass survey of coronavirus options
24,Weekend deaths add to Wednesday's surge of 145 more coronavirus victims
25,Graduates appeal to government for visa extension because of corona
26,Shops begin to reopen as experts warn you should not be shopping for fun
27,Dutch call on EU countries to guarantee airline refund vouchers
28,Are you a coronazi? Virus spawns 700 news words
29,"No hairdresser or social distancing changes this week, despite pressure for change"
