headlines,content,date,headlines_en,content_en
voorlopig vaccin tegen corona komt minder snel door afname aantal besmettingen,"updatenijmegen - het 'voorlopige' vaccin tegen corona dat momenteel door het nijmeegse radboudumc wordt getest, komt mogelijk later doordat het aantal ...",2020-05-15,preliminary corona vaccine is less likely to decrease infection rates,"Update Nijmegen - the 'provisional' corona vaccine currently being tested by the Radboud University Nijmegen Medical Center in Nijmegen, is possible later because the number ..."
corona vastgesteld bij hond en drie katten in nederland,voor het eerst is een coronabesmetting vastgesteld bij een hond in nederland. ook is het virus bij drie katten aangetroffen. dat heeft minister carola schouten ...,2020-05-15,Corona established in dogs and three cats in Netherlands,"the first is a coronavirus infection established by a dog in Netherlands. Also, the virus found in three cats. that Secretary Carola Schouten ..."
lak tegen corona,haarlem #laktegencorona is een campagne om kleur en vrolijkheid in huis te brengen én tegelijkertijd geld in te zamelen voor het corona research fonds ...,2020-05-15,lacquer against corona,Haarlem #laktegencorona a campaign to color and gaiety to bring home and at the same time raise money to fund research corona ...
"'corona is in china ontstaan hè, niet in een brabantse veehouderij'",joke van der giessen gaat namens het rivm onderzoeken of mensen in gebieden met veel vee en luchtvervuiling kwetsbaarder zijn voor corona.,2020-05-15,"'Corona in China originated eh, not in a Brabant livestock'",Joke van der Giessen will investigate on behalf rivm or people in areas of high pollution and livestock are vulnerable to corona.
nederlands medicijn tegen corona mogelijk al over 6 maanden beschikbaar,een unieke vondst: wetenschappers hebben een antilichaam gevonden dat goede hoop geeft voor een medicijn tegen een corona-infectie.,2020-05-15,Dutch drug already six months offered for corona available,a unique discovery: scientists have found an antibody that gives hope for a cure for a corona infection.
liveblog | rutte: 'horeca mogelijk open tijdens pinksterweekend',volg in dit liveblog de belangrijkste ontwikkelingen rond de coronacrisis. het land komt langzaam uit de intelligente lockdown.,2020-05-15,Live Blog | Rutte 'trade possible open during Pentecost weekend',Follow this live blog the major developments related to the corona crisis. the country is slowly intelligent lockdown.
naar een openbaar toilet? dan doortrekken met gesloten deksel tegen corona,van ongeveer 7000 openbare toiletten naar zo'n 500 in het hele land. het sluiten van horeca en andere openbare plekken vanwege de corona-uitbraak zorgde ...,2020-05-15,a public toilet? then by pulling with the lid closed against corona,"approximately 7,000 public toilets for about 500 across the country. closing restaurants and other public places because of the corona outbreak caused ..."
nog maar 10 procent van bezoekers teststraat zelhem heeft corona,zelhem - van de zieke achterhoekers die zich melden bij de corona teststraat in zelhem is nog maar 10 procent besmet met het gevreesde virus. in april lag ...,2020-05-15,only 10 percent of visitors test lane zelhem has corona,zelhem - the sick Achterhoekers which report to the corona test zelhem street is only 10 percent infected with the dreaded virus. was in April ...
corona in friesland - 15 mei | voor het eerst sinds 2 mei is er weer een overledene gemeld,"er zijn in friesland sinds donderdag twee mensen positief getest op het coronavirus, dat meldt de ggd fryslân in haar dagelijkse update. voor het eerst sinds 2 ...",2020-05-15,corona in Friesland - May 15 | first deceased has again been reported since May 2,"there are in Friesland since Thursday two people tested positive for coronavirus, which reports the GCD fryslân in its daily update. For the first time since 2 ..."
dodenaantal corona in limburg stijgt met vier,"het aantal coronaslachtoffers in limburg is opgelopen tot 688. afgelopen etmaal kwamen er vier bij: drie in zuid-limburg, een in noord- en midden-limburg.",2020-05-15,death toll rises to four corona in Phoenix,"the number of victims corona in Phoenix has risen to 688. last day there were four to three in South-Limburg, one in north and mid-Limburg."
