,0
0,['Aantal Nederlandse meldingen sterfgevallen corona fors minder dan afgelopen dagen']['VIDEODe afgelopen 24 uur zijn er in Nederland 26 nieuwe meldingen gedaan van geteste mensen die zijn overleden aan het coronavirus. Een forse daling ten ...']
1,['Corona in Friesland - 4 mei | Voor het eerst sinds uitbraak geen nieuwe bevestigde besmettingen in Friesland en extra steun voor boeren']['Voor het eerst sinds de uitbraak van het coronavirus in Friesland zijn er in de afgelopen 24 uur geen nieuwe besmettingen vastgesteld en geen overledenen ...']
2,"['Huizenmarkt tijdens corona: \'Van idioot terug naar gek\'']['Huiseigenaren, mogelijke kopers en makelaars hielden de adem in. Door het coronavirus zou de huizenmarkt wel eens compleet in kunnen zaken. Niet alleen ...']"
3,"['Sportscholen zijn er klaar mee en willen graag \'corona-proof\' weer open']['Sportscholen zijn klaar met de coronamaatregelen. Ze zijn al weken dicht, terwijl ze vinden dat sporten op anderhalve meter heel goed kan.']"
4,['Radboudumc brengt nieuw medicijn in stelling tegen corona-infecties']['NIJMEGEN - Een medicijn in ontwikkeling tegen energiestofwisselingsziekten werkt volgens het Nijmeegse Radboudumc mogelijk ook heilzaam bij ...']
5,['Vooruit kijken tijdens corona']['Nu God dood is en Jezus zich ook al een tijdje niet meer heeft vertoond lijkt het me veilig de christelijke jaartelling te hernoemen – al was het maar voor één ...']
6,"['Corona, dat kon er in Hoogeveen ook nog wel bij']['Hoogeveen stond er financieel zo belabberd voor dat de gemeente nog maar één uitweg zag: een volledige uitgavenstop. En toen brak de coronacrisis uit.']"
7,"['Flinke stijging bezorging pakketjes bij PostNL door corona']['Het was een goed eerste kwartaal voor PostNL, met name als gevolg van de coronacrisis. Het bedrijf kon in maart ruim 11 procent meer pakketten bezorgen ...']"
8,['Afgelopen weekend opnieuw Heemstedenaar overleden aan gevolgen corona']['[REGIO] Het aantal onder inwoners van Haarlem officieel vastgestelde besmettingen met het coronavirus (COVID-19) is volgens de dagelijkse update van het ...']
9,['Trump claimt dat VS voor einde jaar vaccin tegen corona heeft']['De Amerikaanse president Donald Trump beweert dat de Verenigde Staten al aan het eind van dit jaar een vaccin tegen het coronavirus hebben ontwikkeld.']
