,0
0,['Doctors express glimmers of hope as they try out new approaches against coronavirus']
1,['Russia says search for a coronavirus treatment should not be a medical \'arms race\'']
2,"['A Trump Official Tried to Fast-Track Funding for His Friend’s Unproven COVID-19 “Treatment,” Whistleblower Says']"
3,"['Russia\'s coronavirus cases pass 250,000; EU says vaccine could take a year']"
4,['COVID-19 Targets the Elderly. Why Don’t Our Prevention Efforts?']
5,['WHO sees \'potentially positive data\' in treating coronavirus']
6,"['25 teen girls, 7 staff at Michigan treatment facility infected with coronavirus']"
7,['NIH begins clinical trial of hydroxychloroquine and azithromycin to treat COVID-19']
8,['Trials Test Survivors\' Blood as COVID-19 Treatment']
9,['The Disproportionate Impact of Covid-19 on Black Health Care Workers in the US']
10,"['Child Deaths and Mental Illness Will Surge Amid Coronavirus, U.N. Warns: Live Coverage']"
11,['Emails offer look into whistleblower charges of cronyism behind potential COVID-19 drug']
12,['L.A. nurse dies after treating a coronavirus patient']
13,['Emergency COVID-19 treatment drug headed to Cincinnati hospitals']
14,['Researchers Explore Low Doses Of Radiation To Treat Severe Coronavirus Cases']
15,['Scientists at Stanford look at new drug to help treat COVID-19']
16,['Fort Wayne man receives rare COVID-19 treatment at Parkview Regional Medical Center']
17,"['No insurance, no savings, no support: what happens when LA\'s least privileged get Covid']"
18,['How Much Coronavirus Testing Does the U.S. Need to Reopen?']
19,['Coronavirus Ravaged a Choir. But Isolation Helped Contain It.']
20,['How coronavirus attacks the human body - The Washington Post']
21,['How To Make Sense of All The COVID-19 Projections? A New Model Combines Them']
22,"['CRISPR tests for coronavirus, unproven therapies and a high-profile resignation']"
23,['‘No intubation’: Should you change your living will because of coronavirus treatment option?']
24,['Two Green Bay hospitals receive remdesivir for COVID-19 treatment']
25,['Stanford’s new coronavirus treatment approach: Hit hard — and early']
26,['An early backer of Moderna Therapeutics on the core investing lesson behind a big coronavirus bet']
27,['Why this ICU nurse treating Covid patients could be deported']
28,['You can get a coronavirus test at these Indianapolis Walmarts starting Friday']
29,['GovExec Daily: Racial Disparities in Coronavirus Treatment']
30,"['Bee-Line driver lost mom to coronavirus, makes sure others get to work saving lives']"
31,"['Health experts: Reopening businesses in Minnesota will spread COVID-19, but how much?']"
32,['An easier coronavirus test is within spitting distance']
33,"['Spain daily death toll slow to decline; Tui travel firm plans up to 8,000 job cuts']"
